pnl,user,baseAssetAmount,quoteAssetAmountAfter,quoteEntryAmount,settlePrice,txSig,slot,datetime,marketIndex,explanation,programId
15.776015,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,666.0,-380.644974,-303.987333,0.571539,3KUvgLmE1MYgLmiAYMVPfEFKXxunR4FqUjNJm17yjEv5FvrtoJGMYAcp4cS9VCbLcJMBCGpxPPsem7rJteeq6Jux,250609542,2/26/2024  10:56:57 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.284382,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,666.0,-380.929356,-303.987333,0.571966,4CvR3VpCa6iwY9vLidWPWFZTx9sSsj2yheV4WmsVVmokF8Xn2XBSQTWkqtMzvGqoEcdiUnUCtBtr2QmGrZxvkBHT,250609674,2/26/2024  10:57:53 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
26.785426,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-518.58675,-526.3336,2.254725,29xZf694rjUd6NixrtRk1ss2qwTDyQjihKG4ofvKv1cceG9HmCmaAd6ynxkZA36iAsinLYQmpgJ3b1WaPo2NJfxV,250611859,2/26/2024  11:13:09 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.00184,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,230.0,-518.58491,-526.3336,2.254717,Vc7tf2YBAZyi9Ux2JL7bYq2yCTiMLSamR3QBXFGUUdPuhZQqApTr1ESMwdoMQJhkKmKYtGntcPfbCU8X5RJpCcb,250612021,2/26/2024  11:14:20 AM,20,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
17.343567,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,30.3,-380.65587,-411.185913,12.5629,42kyrWdYFd3x29oHJq38dxoksdMY3oXueHpRBnsYG4A6mihnkd51DXjm5p8xQDpGU4poDhEXoFop44i2bRwA8GoK,250625600,2/26/2024  12:48:38 PM,4,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
25.611108,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,30.3,-406.53813,-411.185913,13.4171,2NgDf86ioFMTVA6GVouscTxyWKCBdocM1wsfQcL2k7eFdb6Y759tbRYWA85v2jYnQfYgCrYHtgBazAVngtCTNbw3,250651602,2/26/2024  3:49:00 PM,4,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
1.50288,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,30.3,-408.04101,-411.185913,13.4667,2fK3khcD7hRp16S8oKu1LejwjqkA2LfcMaXcDTb8vn9FsjZyBy6pBpy94LmrK7HBrcQK7eLiEbRHPS3KujGjZvTw,250651728,2/26/2024  3:49:55 PM,4,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
11.05094,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,666.0,-392.089518,-303.987333,0.588723,5hd6R7WTziniCCXUcx88aJACnTeTboME3MRZJjV59EvTu1ouKMP9VdshVvveYurinqMMjkxQDpbu9YFZSuwhMBpV,250662803,2/26/2024  5:07:43 PM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
46.309164,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,7.0,-771.587047,-743.550214,110.226721,3FLAdHEyGgMwo78tPmCnKWYNh7S1wSgW18fYwXRDwEQhjRPBsjX3NgotcdP2Z17gLpPxfpBEzD3fUojFZ1rd5eiJ,250670758,2/26/2024  6:04:38 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
74.650896,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,674.0,-318.936126,-200.178,0.473199,3AwvFF3L8Q2T7j3Qq7Mzr2b84LnqbHuMP22E5hQNLsC7kekeqUSREsx73MXUsYzvRkDprcEBfRaEhfKoErq7V5c7,250670806,2/26/2024  6:04:58 PM,23,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
