Pubkey,Signature,Event Type,Log Data
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,4biT7inm6kcjh76zjyqH9zzWWttW5DY4wszrjAzBuy73EdKiikMCzgZ8xoE4ePvME9bWrrYZvTi9ACRrEWLAzt8o,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715662856, user_authority=Pubkey(
    CTh4Q6xooiaJMWCwKP5KLQ4j7X3NEJPf3Uq6rX8UsKSi,
), user=Pubkey(
    H5jfagEnMVNH3PMc2TU2F7tNuXE6b4zCwoL5ip1b4ZHi,
), market_index=0, funding_payment=-1371306, base_asset_amount=163800000000, user_last_cumulative_funding=34005985243, amm_cumulative_funding_long=34014357076, amm_cumulative_funding_short=33808157401))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,4biT7inm6kcjh76zjyqH9zzWWttW5DY4wszrjAzBuy73EdKiikMCzgZ8xoE4ePvME9bWrrYZvTi9ACRrEWLAzt8o,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715662856, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=11720, base_asset_amount=-1400000000, user_last_cumulative_funding=33799785568, amm_cumulative_funding_long=34014357076, amm_cumulative_funding_short=33808157401))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,36WqGbWTT3LzJ7XBUbrtRhsbfoT2Nm549NPw8taBwQKJizUXDHQ8w8fJ9fgAJ2R28mN2juSw8mZYMyoCt1qWJkY3,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715659520, user_authority=Pubkey(
    BcPSLCAahWExwpF99AezXpTVGe4vUYu12uzYURURtjM8,
), user=Pubkey(
    8JvstGPPR4pNYMJu2dLs3vVHZim5vW9S4SFR5jsfkFv2,
), market_index=0, funding_payment=1856894, base_asset_amount=-247200000000, user_last_cumulative_funding=33792273860, amm_cumulative_funding_long=34005985243, amm_cumulative_funding_short=33799785568))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,t7NffUbu7P7dfdgZ8ShYiZUo5rrnXH9Paxpuukc3RDJefGgnwcGN28BpLL1mVNsZHLCDsjrsW95GKaXuawEoJCn,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715659447, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=9765, base_asset_amount=-1300000000, user_last_cumulative_funding=33792273860, amm_cumulative_funding_long=34005985243, amm_cumulative_funding_short=33799785568))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,2xPXiLJuReFnX4Tzj8SdaERqM1ePvASBNvxr91ATpwGoqee8NhBB7W75DQZBbZznjfmsBejfgEigfcF2VLwxGiE5,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715657817, user_authority=Pubkey(
    CyogeUY9qYMddRbWMohdvjYJhwUeFFQEHhpqrSmEisEt,
), user=Pubkey(
    GBESpPxRyr978RtStwQjZFy7Ai56sEFJfj3vAEDuvuV,
), market_index=0, funding_payment=-4064982, base_asset_amount=11800000000, user_last_cumulative_funding=33653983514, amm_cumulative_funding_long=33998473535, amm_cumulative_funding_short=33792273860))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,4UUBXTf2Lcfe7p5PwpABsCBtZaV1PqXpwnnbsP7u7QhnNspe8Bcizp2xSv5WD7y3yLWKCdh9aHECPJ6oFQsLk8vW,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715655905, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=8877, base_asset_amount=-1300000000, user_last_cumulative_funding=33785445277, amm_cumulative_funding_long=33998473535, amm_cumulative_funding_short=33792273860))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5xkW4f8ZSQN3Ru9EV8YjsuQiKjqyNQNNP1jDDsnDM9nsZYEvWXhPbW437nVtUCpzQems8eZ8gnc1UdrWmdt6u2Gv,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715653004, user_authority=Pubkey(
    DNANaxkHsRnGR1Sw9WNPzkCiANxE4ahHCBnntCPTjhD7,
), user=Pubkey(
    2Atrjrhk3MCJ9GFgAMuqJnCRHFtnWHYohVJYge6cm7z6,
), market_index=0, funding_payment=-24554097, base_asset_amount=220000000000, user_last_cumulative_funding=33880035417, amm_cumulative_funding_long=33991644952, amm_cumulative_funding_short=33785445277))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5oF4J7F1jUc5XBTF7Jaw7A5a1diq8Ha7qx8Mc5YzBi5St2KuJuCG1JT9wc8uftDua4uEEJsiY3K3NvxVUDCJGHcK,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715652318, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=10566, base_asset_amount=-1300000000, user_last_cumulative_funding=33777316986, amm_cumulative_funding_long=33991644952, amm_cumulative_funding_short=33785445277))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,51SdPfRs5pkdA9whvgDtB5Veu1xsQyN5xSPZTuNRRQUdvaoopeBRVT437t3fLwA4G5kHt2tMd6bBcsVZvjo7kgfL,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715651045, user_authority=Pubkey(
    C9oLwNsC1Go6wcQXh6wLng61zXF7CTUKAU4yXyvuChN2,
), user=Pubkey(
    EFHhvQxiSuUNhQMyNY4SAyXiXegoxyHr5MB1HxEpHXfG,
), market_index=0, funding_payment=-408680, base_asset_amount=23900000000, user_last_cumulative_funding=33966417079, amm_cumulative_funding_long=33983516661, amm_cumulative_funding_short=33777316986))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5XMw7PW24Gtj1ohWRpY26wkTvBU24bqfLourkYgjPF6jneLwqcXQkm7pxk9iyJNAqozPKANzjDgLrpfbPQDMMzQf,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715648657, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=7954, base_asset_amount=-1200000000, user_last_cumulative_funding=33770688070, amm_cumulative_funding_long=33983516661, amm_cumulative_funding_short=33777316986))"
